cve_estado,nombre,abreviatura
1,Aguascalientes,AGS
2,Baja California Norte,BC
3,Baja California Sur,BCS
4,Campeche,CAM
5,Coahuila de Zaragoza,COAH
6,Colima,COL
7,Chiapas,CHIS
8,Chihuahua,CHI
9,Distrito Federal,DF
10,Durango,DGO
11,Guanajuato,GTO
12,Guerrero,GRO
13,Hidalgo,HGO
14,Jalisco,JAL
15,México,MEX
16,Michoacán de Ocampo,MICH
17,Morelos,MOR
18,Nayarit,NAY
19,Nuevo León,NL
20,Oaxaca,OAX
21,Puebla,PUE
22,Querétaro de Arteaga,QRO
23,Quintana Roo,Q ROO
24,San Luis Potosí,SLP
25,Sinaloa,SIN
26,Sonora,SON
27,Tabasco,TAB
28,Tamaulipas,TAMPS
29,Tlaxcala,TLAX
30,Veracruz,VER
31,Yucatán,YUC
32,Zacatecas,ZAC
